Name,Question_count,Q_1,Q_2,Q_3,Q_4,Q_5,Q_6,Q_7,Q_8,Q_9,Q_10,Q_11
Rosalind Franklin,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Female?,Service in Industry over 40yrs?,Dead?,Gov?,British?,Married?,
Barbara McClintock,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Age Over 80?,Fine Arts?,Doctor level Education?,Born between 1800-1900?,Win Nobel?,Married?,
May-Britt Moser,11,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Fine Arts?,Service in Industry over 40yrs?,Married?,Graduate level Education?,Finance?,Tech?
Sunita Williams,10,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Age over 60?,Tech?,Political Party?,Work in Financial Services?,Service in Gov over 30yrs?,Service in Gov over 20yrs?,
Helen Brooke Taussig,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Age Over 80?,Fine Arts?,Doctor level Education?,Born between 1800-1900?,Physician?,Married?,
Elizabeth Blackburn,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Female?,Service in Industry over 40yrs?,Age Over 80?,Humanities?,Doctor level Education?,Australian?,
Jane C. Wright,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Age Over 80?,Fine Arts?,Doctor level Education?,Born between 1800-1900?,Win Nobel?,Dead?,
Tu Youyou,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Fine Arts?,British?,Designer?,Win Nobel?,Medicine?,Female?,
Bonnie Bassler,11,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Doctor level Education?,Married?,Gov?,Age over 60?,Tech?,Space and Astronomy?,Physician?
Maria Sibylla Merian,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Arts and humanities?,Doctor level Education?,Service in Gov over 20yrs?,Female?,Service in Industry over 40yrs?,Born between 1800-1900?,
Mary Anning,9,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Birth before 1800?,Married?,Self study?,Female?,,
Antonia Novello,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Age Over 80?,Dead?,Fine Arts?,Arts and humanities?,Finance?,Married?,
Florence Sabin,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Age Over 80?,Fine Arts?,Doctor level Education?,Born between 1800-1900?,Physician?,Married?,
Ann Preston,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Politics?,Justice?,Female?,Married?,Physician?,
Joy Bauer,10,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Age over 60?,Political Party?,Tech?,Work in Financial Services?,Military?,Medical and Research?,
Mary Guinan,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Age Over 80?,Fine Arts?,Doctor level Education?,Born between 1800-1900?,Win Nobel?,Dead?,
Regina Benjamin,11,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Doctor level Education?,Married?,Gov?,Age over 60?,Tech?,Space and Astronomy?,Physician?
Rosalyn Yalow,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Age Over 80?,Fine Arts?,Doctor level Education?,Born between 1800-1900?,Win Nobel?,Married?,
Shinya Yamanaka,10,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Arts and humanities?,Other Political Party?,Tech?,Finance?,Biology and Chemistry?,
Margaret Chan,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Female?,Service in Industry over 40yrs?,Dead?,Political Party?,Service in Industry over 30yrs?,Work in Bank?,
Louis Pasteur,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Arts and humanities?,Doctor level Education?,Service in Industry over 50yrs?,Birth before 1800?,British?,Psychologist?,
Alexander Fleming,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Arts and humanities?,Doctor level Education?,Service in Industry over 50yrs?,Birth before 1800?,British?,Win Nobel?,
William Harvey,9,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Arts and humanities?,Doctor level Education?,Service in Industry over 50yrs?,Birth before 1800?,British?,,
Sigmund Freud,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Arts and humanities?,Doctor level Education?,Service in Industry over 50yrs?,Birth before 1800?,British?,Psychologist?,
Jonas Salk,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Dead?,Age Over 80?,Arts and humanities?,Medicine?,Win Nobel?,Service in Industry over 50yrs?,
Albert Sabin,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Dead?,Age Over 80?,Arts and humanities?,Medicine?,Win Nobel?,Service in Industry over 50yrs?,
Edward Jenner,9,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Arts and humanities?,Doctor level Education?,Service in Industry over 50yrs?,Birth before 1800?,British?,,
Andreas Vesalius,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Birth before 1800?,Married?,Low Education?,British?,Service in Industry over 30yrs?,
Carl Linnaeus,9,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Arts and humanities?,Doctor level Education?,Service in Industry over 50yrs?,Birth before 1800?,British?,,
Thomas Sydenham,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Birth before 1800?,Married?,Low Education?,British?,Service in Industry over 40yrs?,
Joseph Lister,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Arts and humanities?,Doctor level Education?,Service in Industry over 50yrs?,Birth before 1800?,British?,Win Nobel?,
William Osler,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Arts and humanities?,Doctor level Education?,Service in Industry over 50yrs?,Age Over 80?,Physicist?,Married?,
Robert Hooke,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Birth before 1800?,Married?,Self study?,Female?,Finance?,
Christiaan Barnard,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Female?,Dead?,Service in Industry over 30yrs?,Married?,Arts and humanities?,British?,
Emil von Behring,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Birth before 1800?,Medicine?,Age over 60?,Female?,Medical and Research?,
Rudolf Virchow,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Arts and humanities?,Doctor level Education?,Service in Industry over 50yrs?,Age Over 80?,Physician?,Win Nobel?,
Antonie van Leeuwenhoek,11,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Arts and humanities?,Doctor level Education?,Service in Gov over 20yrs?,Female?,Self study?,Other Political Party?,Birth before 1800?
Albert Calmette,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Arts and humanities?,Doctor level Education?,Service in Industry over 50yrs?,Age Over 80?,Physicist?,Married?,
Carl Gustav Jung,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Arts and humanities?,Doctor level Education?,Service in Industry over 50yrs?,Age Over 80?,Physician?,Work in Education?,
Claude Bernard,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Birth before 1800?,Medicine?,Age over 60?,Female?,Medical and Research?,
Albert Schweitzer,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Arts and humanities?,Doctor level Education?,Service in Industry over 50yrs?,Age Over 80?,Physician?,Win Nobel?,
Frederick Banting,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Birth before 1800?,Medicine?,Age over 60?,Physicist?,Physician?,
Charles Drew,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Dead?,Age Over 80?,Age Over 70?,Born between 1900-1950?,Married?,Arts and humanities?,
Harvey Cushing,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Dead?,Age Over 80?,Age Over 70?,Fine Arts?,Born between 1900-1950?,Biology and Chemistry?,
Christian Doppler,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Birth before 1800?,Medicine?,Age over 60?,Physicist?,Female?,
Francis Crick,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Female?,Dead?,Service in Industry over 30yrs?,Married?,Arts and humanities?,British?,
James Parkinson,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Birth before 1800?,Married?,Low Education?,British?,Service in Industry over 40yrs?,
William Morton,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Dead?,Age Over 80?,Age Over 70?,Born between 1900-1950?,Write Poetry and Philosophical?,Age over 50?,
Joseph Murray,9,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Dead?,Age Over 80?,Arts and humanities?,Medicine?,Win Nobel?,,
Walter Cannon,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Dead?,Age Over 80?,Age Over 70?,Fine Arts?,Born between 1900-1950?,Biology and Chemistry?,
Robert Edwards,9,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Fine Arts?,British?,Female?,Dead?,Biology and Chemistry?,,
David Ho,9,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Doctor level Education?,Married?,Finance?,Service in Industry over 30yrs?,Female?,,
Christian de Duve,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Fine Arts?,British?,Designer?,Win Nobel?,Medicine?,Female?,
Albert Einstein,9,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Arts and humanities?,Doctor level Education?,Service in Industry over 50yrs?,Age Over 80?,Physicist?,,
Charles Darwin,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Arts and humanities?,Doctor level Education?,Service in Gov over 20yrs?,Female?,Self study?,Born between 1800-1900?,
David Attenborough,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Fine Arts?,British?,Female?,Dead?,College level Education?,Married?,
Isaac Newton,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Arts and humanities?,Doctor level Education?,Service in Gov over 20yrs?,Female?,Self study?,Born between 1800-1900?,
Stephen Hawking,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Fine Arts?,British?,Female?,Dead?,Biology and Chemistry?,Actor?,
John Snow,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Birth before 1800?,Medicine?,Age over 60?,Physicist?,Physician?,
Charles Pfizer,11,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Arts and humanities?,Doctor level Education?,Service in Gov over 20yrs?,Female?,Self study?,Other Political Party?,Birth before 1800?
Derrick Rossi,9,Born after 1950?,American?,Female?,Humanities?,Industry?,CEO?,Tech?,Age over 60?,Economist?,,
Robert Langer,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Dead?,Arts and humanities?,Win Nobel?,Doctor level Education?,Economist?,Investor?,
Yuan Longping,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Fine Arts?,British?,Designer?,Win Nobel?,Dead?,Star in Drama movie?,
Serena Williams,11,Born after 1950?,American?,Arts and humanities?,College level Education?,Married?,Age over 50?,Actress?,Fine Arts?,Female?,Play Racquet sports?,Active player?
Marta Vieira da Silva,9,Born after 1950?,American?,Female?,Age over 50?,Married?,Low Education?,Sports?,Play Team sports?,Soccer?,,
Ronda Rousey,11,Born after 1950?,American?,Arts and humanities?,College level Education?,Married?,Age over 50?,Actress?,Fine Arts?,Female?,Play Racquet sports?,Big Four Fashion Show?
Danica Patrick,11,Born after 1950?,American?,Arts and humanities?,College level Education?,Married?,Fine Arts?,Model?,Star in Drama movie?,Female?,Star in Comedy movie?,Play Olympics?
Billie Jean King,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Female?,Age Over 80?,Democrat?,Service in Gov over 20yrs?,Politics?,Dead?,
Jackie Joyner-Kersee,10,Born after 1950?,American?,Arts and humanities?,College level Education?,Age over 50?,Age over 60?,Service in Industry over 30yrs?,Play Physical sports?,Female?,Track and Field?,
Venus Williams,10,Born after 1950?,American?,Arts and humanities?,College level Education?,Age over 50?,Sports?,Play Team sports?,Married?,Female?,Play Physical sports?,
Abby Wambach,10,Born after 1950?,American?,Arts and humanities?,College level Education?,Age over 50?,Sports?,Play Team sports?,Play Basketball?,Soccer?,Active player?,
Nadia Comaneci,10,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Arts and humanities?,College level Education?,British?,Play Physical sports?,Married?,
Steffi Graf,10,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Arts and humanities?,College level Education?,Graduate level Education?,Married?,Won Grammy?,
Hope Solo,10,Born after 1950?,American?,Arts and humanities?,College level Education?,Age over 50?,Sports?,Play Team sports?,Play Basketball?,Soccer?,Active player?,
Florence Griffith Joyner,10,Born after 1950?,American?,Arts and humanities?,College level Education?,Age over 50?,Sports?,Play Team sports?,Married?,Track and Field?,Dead?,
Carli Lloyd,10,Born after 1950?,American?,Arts and humanities?,College level Education?,Age over 50?,Sports?,Play Team sports?,Play Basketball?,Soccer?,Active player?,
Diana Taurasi,10,Born after 1950?,American?,Arts and humanities?,College level Education?,Age over 50?,Sports?,Play Team sports?,Play Basketball?,Female?,Won Gold metals?,
Martina Hingis,9,Born after 1950?,American?,Female?,Age over 50?,Married?,Low Education?,Actress?,Sports?,Play Tennis?,,
Sanya Richards-Ross,10,Born after 1950?,American?,Arts and humanities?,College level Education?,Age over 50?,Age over 60?,Service in Industry over 30yrs?,Play Physical sports?,Female?,Track and Field?,
Yelena Isinbayeva,11,Born after 1950?,American?,Female?,Age over 50?,Married?,Low Education?,Humanities?,Play Olympics?,Play Target sports?,Play Physical sports?,Italian?
Annika Sorenstam,10,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Arts and humanities?,College level Education?,British?,Play Physical sports?,Play Target sports?,
Marion Jones,11,Born after 1950?,American?,Arts and humanities?,College level Education?,Age over 50?,Sports?,Play Team sports?,Married?,Track and Field?,Dead?,Active player?
Peggy Fleming,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Female?,Age Over 80?,Graduate level Education?,Low Education?,Age over 60?,Dead?,
Saina Nehwal,10,Born after 1950?,American?,Female?,Age over 50?,Married?,Low Education?,Actress?,Sports?,Active player?,Won Gold metals?,
Sarah Hughes,11,Born after 1950?,American?,Arts and humanities?,College level Education?,Age over 50?,Sports?,Play Team sports?,Married?,Female?,Play Physical sports?,Play Olympics?
Kim Yuna,10,Born after 1950?,American?,Female?,Age over 50?,Married?,Low Education?,Actress?,Sports?,Active player?,Play Physical sports?,
Lindsay Davenport,11,Born after 1950?,American?,Arts and humanities?,College level Education?,Married?,Age over 50?,Actress?,Fine Arts?,Female?,Play Racquet sports?,Active player?
Nancy Kerrigan,11,Born after 1950?,American?,Arts and humanities?,College level Education?,Age over 50?,Age over 60?,Fashion?,Fine Arts?,Sports?,Female?,Play Team sports?
Elena Delle Donne,10,Born after 1950?,American?,Arts and humanities?,College level Education?,Age over 50?,Sports?,Play Team sports?,Play Basketball?,Female?,Won Gold metals?,
Jackie Silva,10,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Arts and humanities?,College level Education?,Graduate level Education?,Married?,Play Team sports?,
Helle Nielsen,10,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Arts and humanities?,College level Education?,Graduate level Education?,Married?,Play Team sports?,
Ana Ivanovic,9,Born after 1950?,American?,Female?,Age over 50?,Married?,Low Education?,Actress?,Sports?,Play Tennis?,,
Gevrise Emane,10,Born after 1950?,American?,Female?,Age over 50?,Married?,Low Education?,Sports?,Play Team sports?,Play Physical sports?,Play Olympics?,
Carolina Marin,10,Born after 1950?,American?,Female?,Age over 50?,Married?,Low Education?,Sports?,Play Team sports?,Play Physical sports?,Play Olympics?,
Nicola Adams,10,Born after 1950?,American?,Female?,Age over 50?,Married?,Low Education?,Actress?,Sports?,Play Tennis?,Play Racquet sports?,
Allyson Felix,11,Born after 1950?,American?,Arts and humanities?,College level Education?,Age over 50?,Sports?,Play Team sports?,Married?,Track and Field?,Dead?,Active player?
Simone Biles,12,Born after 1950?,American?,Arts and humanities?,College level Education?,Age over 50?,Sports?,Play Team sports?,Married?,Female?,Play Physical sports?,Play Olympics?
Naomi Osaka,10,Born after 1950?,American?,Female?,Age over 50?,Married?,Low Education?,Sports?,Play Team sports?,Play Physical sports?,Play Olympics?,
Katie Ledecky,12,Born after 1950?,American?,Arts and humanities?,College level Education?,Age over 50?,Sports?,Play Team sports?,Married?,Female?,Play Physical sports?,Play Olympics?
Zhu Ting,10,Born after 1950?,American?,Female?,Age over 50?,Married?,Low Education?,Actress?,Sports?,Active player?,Won Gold metals?,
Ding Ning,10,Born after 1950?,American?,Female?,Age over 50?,Married?,Low Education?,Actress?,Sports?,Active player?,Won Gold metals?,
Zhang Yining,10,Born after 1950?,American?,Female?,Age over 50?,Married?,Low Education?,Humanities?,Play Olympics?,Play Target sports?,Play Physical sports?,
Ai Fukuhara,10,Born after 1950?,American?,Female?,Age over 50?,Married?,Low Education?,Actress?,Sports?,Play Tennis?,Play Racquet sports?,
Kristin Otto,10,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Arts and humanities?,College level Education?,British?,Play Physical sports?,Married?,
Lindsey Vonn,11,Born after 1950?,American?,Arts and humanities?,College level Education?,Married?,Fine Arts?,Model?,Star in Drama movie?,Female?,Star in Comedy movie?,Play Olympics?
Kerri Walsh Jennings,10,Born after 1950?,American?,Arts and humanities?,College level Education?,Age over 50?,Sports?,Play Team sports?,Play Basketball?,Soccer?,Female?,
Regla Torres,9,Born after 1950?,American?,Female?,Age over 50?,Married?,Low Education?,Sports?,Play Team sports?,Soccer?,,
Mia Hamm,11,Born after 1950?,American?,Arts and humanities?,College level Education?,Age over 50?,Age over 60?,Fashion?,Fine Arts?,Sports?,Female?,Play Team sports?
Guo Jingjing,10,Born after 1950?,American?,Female?,Age over 50?,Married?,Low Education?,Humanities?,Play Olympics?,Play Target sports?,Active player?,
Wu Minxia,10,Born after 1950?,American?,Female?,Age over 50?,Married?,Low Education?,Actress?,Sports?,Active player?,Play Physical sports?,
Valentina Vezzali,11,Born after 1950?,American?,Female?,Age over 50?,Married?,Low Education?,Humanities?,Play Olympics?,Play Target sports?,Play Physical sports?,Italian?
Inbee Park,10,Born after 1950?,American?,Female?,Age over 50?,Married?,Low Education?,Humanities?,Play Olympics?,Play Target sports?,Active player?,
Kim Rhode,10,Born after 1950?,American?,Arts and humanities?,College level Education?,Age over 50?,Sports?,Play Team sports?,Married?,Track and Field?,Female?,
Kamila Valieva,10,Born after 1950?,American?,Female?,Age over 50?,Married?,Low Education?,Sports?,Play Team sports?,Play Physical sports?,Play Olympics?,
Michael Jordan,10,Born after 1950?,American?,Arts and humanities?,College level Education?,Age over 50?,Age over 60?,Service in Industry over 30yrs?,Play Physical sports?,Play Team sports?,Play Basketball?,
Muhammad Ali,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Female?,Age Over 80?,Political Party?,Age over 60?,Dead?,Low Education?,
Cristiano Ronaldo,10,Born after 1950?,American?,Female?,Humanities?,College level Education?,Sports?,Play Olympics?,Play Team sports?,Married?,Won Gold metals?,
Lionel Messi,10,Born after 1950?,American?,Female?,Humanities?,College level Education?,Sports?,Play Olympics?,Play Team sports?,Married?,Soccer?,
Usain Bolt,10,Born after 1950?,American?,Female?,Humanities?,College level Education?,Age over 50?,Won Gold metals?,Play Physical sports?,Swimmer?,Track and Field?,
Michael Phelps,11,Born after 1950?,American?,Arts and humanities?,College level Education?,Age over 50?,Sports?,Play Team sports?,Married?,Track and Field?,Female?,Play Physical sports?
LeBron James,10,Born after 1950?,American?,Arts and humanities?,College level Education?,Married?,Age over 50?,Actress?,Fine Arts?,Female?,Dead?,
Roger Federer,11,Born after 1950?,American?,Female?,Humanities?,College level Education?,Sports?,Play Olympics?,Play Team sports?,Won Gold metals?,Play Tennis?,Married?
Tiger Woods,11,Born after 1950?,American?,Arts and humanities?,College level Education?,Age over 50?,Sports?,Play Team sports?,Married?,Track and Field?,Female?,Play Physical sports?
Tom Brady,10,Born after 1950?,American?,Arts and humanities?,College level Education?,Age over 50?,Sports?,Play Team sports?,Play Basketball?,Soccer?,Female?,
Kobe Bryant,10,Born after 1950?,American?,Arts and humanities?,College level Education?,Married?,Age over 50?,Actress?,Fine Arts?,Female?,Dead?,
Rafael Nadal,11,Born after 1950?,American?,Female?,Humanities?,College level Education?,Sports?,Play Olympics?,Play Team sports?,Won Gold metals?,Play Tennis?,Married?
Novak Djokovic,10,Born after 1950?,American?,Female?,Humanities?,College level Education?,Sports?,Play Olympics?,Play Team sports?,Won Gold metals?,Married?,
Michael Schumacher,10,Born after 1950?,American?,Female?,Humanities?,College level Education?,Sports?,Play Olympics?,Soccer?,Play Team sports?,Married?,
Wayne Gretzky,10,Born after 1950?,American?,Female?,Humanities?,College level Education?,Sports?,Play Olympics?,Soccer?,Play Team sports?,Indian?,
Sachin Tendulkar,10,Born after 1950?,American?,Female?,Humanities?,College level Education?,Sports?,Play Olympics?,Soccer?,Play Team sports?,Indian?,
Michael Johnson,10,Born after 1950?,American?,Arts and humanities?,College level Education?,Age over 50?,Age over 60?,Fashion?,Fine Arts?,Sports?,Female?,
Carl Lewis,10,Born after 1950?,American?,Arts and humanities?,College level Education?,Age over 50?,Age over 60?,Service in Industry over 30yrs?,Play Physical sports?,Female?,Track and Field?,
Roger Bannister,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Female?,Dead?,Service in Industry over 30yrs?,Humanities?,Fashion?,Soccer?,
Michael Owen,9,Born after 1950?,American?,Female?,Humanities?,College level Education?,Sports?,Play Olympics?,Soccer?,British?,,
Andre Agassi,10,Born after 1950?,American?,Arts and humanities?,College level Education?,Married?,Age over 50?,Female?,Graduate level Education?,Age over 60?,Play Olympics?,
Johan Cruyff,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Female?,Dead?,Service in Industry over 30yrs?,Humanities?,Fashion?,Soccer?,
Lewis Hamilton,10,Born after 1950?,American?,Female?,Humanities?,College level Education?,Sports?,Play Olympics?,Soccer?,Play Team sports?,Married?,
Neymar Jr.,10,Born after 1950?,American?,Female?,Humanities?,College level Education?,Sports?,Play Olympics?,Play Team sports?,Married?,Won Gold metals?,
Stephen Curry,10,Born after 1950?,American?,Arts and humanities?,College level Education?,Age over 50?,Sports?,Play Team sports?,Play Basketball?,Female?,Married?,
Yao Ming,11,Born after 1950?,American?,Female?,Humanities?,College level Education?,Age over 50?,Won Gold metals?,Fashion?,Actor?,Play Racquet sports?,Director?
Yi Jianlian,10,Born after 1950?,American?,Female?,Humanities?,College level Education?,Sports?,Play Olympics?,Play Team sports?,Married?,Soccer?,
Kevin Durant,11,Born after 1950?,American?,Arts and humanities?,College level Education?,Age over 50?,Sports?,Play Team sports?,Play Basketball?,Female?,Married?,Won Gold metals?
Canelo Alvarez,10,Born after 1950?,American?,Female?,Humanities?,College level Education?,Sports?,Play Olympics?,Play Team sports?,Won Gold metals?,Married?,
Virgil van Dijk,10,Born after 1950?,American?,Female?,Humanities?,College level Education?,Sports?,Play Olympics?,Soccer?,British?,Italian?,
Jimmy Butler,11,Born after 1950?,American?,Arts and humanities?,College level Education?,Age over 50?,Sports?,Play Team sports?,Play Basketball?,Female?,Married?,Won Gold metals?
Ciro Immobile,10,Born after 1950?,American?,Female?,Humanities?,College level Education?,Sports?,Play Olympics?,Soccer?,British?,Italian?,
Ma Long,10,Born after 1950?,American?,Female?,Humanities?,College level Education?,Age over 50?,Won Gold metals?,Play Physical sports?,Play Target sports?,Married?,
Fan Zhendong,10,Born after 1950?,American?,Female?,Humanities?,College level Education?,Sports?,Play Olympics?,Play Team sports?,Won Gold metals?,Play Tennis?,
Pelé,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Female?,Dead?,Humanities?,College level Education?,Actor?,Soccer?,
Lin Dan,10,Born after 1950?,American?,Female?,Humanities?,College level Education?,Age over 50?,Won Gold metals?,Play Physical sports?,Play Target sports?,Married?,
Lee Chong Wei,10,Born after 1950?,American?,Female?,Humanities?,College level Education?,Age over 50?,Won Gold metals?,Fashion?,Actor?,Play Racquet sports?,
David Beckham,9,Born after 1950?,American?,Female?,Humanities?,College level Education?,Sports?,Play Olympics?,Soccer?,British?,,
Ian Thorpe,10,Born after 1950?,American?,Female?,Humanities?,College level Education?,Age over 50?,Won Gold metals?,Play Physical sports?,Swimmer?,Australian?,
